Nome,Endereço,Estado,Cidade,País,CEP,Total de Avaliações,Média de Avaliações,Avaliação Google,Avaliação Foursquare,Avaliação Facebook,Avaliação Trip,Posição no Ranking da Cidade,Site,Instagram,Telefone,Tipos de Cozinha,Horário,Faixa de Preço por Pessoa,Preço Médio por Pessoa,Estacionamento,Lugares Ao Ar Livre,Wi-Fi,Reserva,Entrega,Para Viagem,Música,TV,Acessível a cadeiras de rodas,Crianças,Grupos Grandes,Serviço de Garçom
Udon,"Estação Central (Metrô de Belo Horizonte) Av. do Contorno, 7315 - Terreo",Minas Gerais,Belo Horizonte,Brasil,30110-047,1649,4.0,4.5,Sem Avaliação,Sem Avaliação,3.5,#100 de 18306 restaurantes em Belo Horizonte,udonrestaurante.com.br,@udonbh,+55 31 2528-2249,Japonesa,Seg: 12:00-15:00 18:00-00:00; Ter: 12:00-15:00 18:00-00:00; Qua: 12:00-15:00 18:00-00:00; Qui: 12:00-15:00 18:00-01:00; Sex: 12:00-01:00; Sáb: 12:00-01:00; Dom: 12:00-23:00,140.00 À 270.00,205.0,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Guignard,"R. Tomé de Souza, 1075",Minas Gerais,Belo Horizonte,Brasil,30140-131,303,4.5,4.5,Sem Avaliação,Sem Avaliação,4.5,#13 de 3071 cafeterias em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3227-5108,"Brasileira, Sul Americana, Opções vegetarianas",Seg: 11:30-14:30; Ter: 11:30-14:30; Qua: 11:30-14:30; Qui: 11:30-14:30; Sex: 11:30-14:30; Sáb: Fechado; Dom: 12:00-15:00,55.00 À 140.00,97.5,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não
O Sarracino,"Av. Afonso Pena, 3745",Minas Gerais,Belo Horizonte,Brasil,30130-009,121,3.9,4.3,3.5,Sem Avaliação,4.0,#103 de 18306 restaurantes em Belo Horizonte,facebook.com,@sarracinoristorante,+55 31 3284-1390,"Italiana, Pizza, Mediterrânea",Seg: 06:00-10:00 12:00-15:00 19:00-22:30; Ter: 06:00-10:00 12:00-15:00 19:00-22:30; Qua: 06:00-10:00 12:00-15:00 19:00-22:30; Qui: 06:00-10:00 12:00-15:00 19:00-22:30; Sex: 06:00-10:00 12:00-15:00 19:00-22:30; Sáb: 06:00-10:00 12:00-15:00 19:00-22:30; Dom: 06:30-10:30 12:00-15:00 19:00-22:30,54.00 À 140.00,97.0,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Camburi,"R. Minas Novas, 13",Minas Gerais,Belo Horizonte,Brasil,30310-090,642,4.5,4.5,Sem Avaliação,5.0,4.0,#106 de 18306 restaurantes em Belo Horizonte,facebook.com,Sem Informação,+55 31 3568-4001,"Brasileira, Frutos do mar",Seg: Fechado; Ter: Fechado; Qua: Fechado; Qui: Fechado; Sex: 12:00-15:00 18:00-00:00; Sáb: 11:00-23:00; Dom: 11:00-17:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Temperos Bar e Restaurante,"Estação Santa Efigênia Av. Carandaí, 415 - LOJA A",Minas Gerais,Belo Horizonte,Brasil,30150-321,166,4.1,4.4,3.8,5.0,3.5,#107 de 18306 restaurantes em Belo Horizonte,Sem Informação,@temperosbarerest,+55 31 3273-0131,Brasileira,Seg: 11:30-14:30; Ter: 11:30-14:30; Qua: 11:30-14:30; Qui: 11:30-14:30; Sex: 11:30-14:30; Sáb: 11:30-14:30; Dom: Fechado,55.00 À 140.00,97.5,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Gero Belo Horizonte,"R. São Paulo, 2.320",Minas Gerais,Belo Horizonte,Brasil,30170-135,277,3.8,4.2,3.8,3.7,3.5,#108 de 18306 restaurantes em Belo Horizonte,fasano.com.br,@fasano,+55 31 3500-8900,Italiana,Seg: 06:30-00:00; Ter: 06:30-00:00; Qua: 06:30-00:00; Qui: 06:30-00:00; Sex: 06:30-00:00; Sáb: 06:30-23:00; Dom: 06:30-17:00,280.00,280.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não
"Pecorino Bar & Trattoria Diamond Mall: Massas, Risoto, Pizza, Vinho, Delivery MG","Estação Carlos Prates Av. Olegário Maciel, 1600",Minas Gerais,Belo Horizonte,Brasil,30180-111,554,3.7,4.1,3.6,Sem Avaliação,3.5,#109 de 18306 restaurantes em Belo Horizonte,pecorino.com.br,@pecorinobr,+55 31 3166-0755,Italiana,Seg: 12:00-23:00; Ter: 12:00-23:00; Qua: 12:00-23:00; Qui: 12:00-23:00; Sex: 12:00-23:00; Sáb: 12:00-23:00; Dom: 12:00-22:00,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Coco Bambu Anchieta,"Rua Francisco Deslandes, 900",Belo Horizonte,Shopping Anchieta Garden,Minas Gerais,Brasil,30703,4.4,4.8,4.2,3.7,5.0,#110 de 18306 restaurantes em Belo Horizonte,cocobambu.com,@cocobambuoficial,+55 31 3504-9180,"Frutos do mar, Opções vegetarianas",Seg: 11:30-15:00 17:00-22:00; Ter: 11:30-15:00 17:00-23:00; Qua: 11:30-15:00 17:00-23:00; Qui: 11:30-15:00 17:00-23:00; Sex: 11:30-00:00; Sáb: 11:30-00:00; Dom: 11:30-22:00,140.00 À 280.00,210.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
La Farina Restaurante e Pizzaria,"Rua Pium-I Cruzeiro, Belo Horizonte",Brasil,Minas Gerais,30310-080,Sem Informação,753,3.8,4.4,3.6,Sem Avaliação,3.5,#112 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3225-3916,"Pizza, Brasileira",Seg: 11:00-01:00; Ter: 11:00-01:00; Qua: 11:00-01:00; Qui: 11:00-01:00; Sex: 11:00-01:00; Sáb: 11:00-01:00; Dom: 11:00-01:00,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Its Surreal Bar e Restaurante,"Avenida Fleming 175, Bar",Minas Gerais,Belo Horizonte,Brasil,31310-490,4205,4.3,4.7,Sem Avaliação,Sem Avaliação,4.0,#113 de 18306 restaurantes em Belo Horizonte,its-surreal.goomer.app,@itssurrealbar,+55 31 2528-6520,"Brasileira, Sul Americana",Seg: 11:00-01:00; Ter: 11:00-01:00; Qua: 11:00-01:00; Qui: 11:00-01:00; Sex: 11:00-01:00; Sáb: 11:00-01:00; Dom: 11:00-01:00,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
