Nome,Endereço,Estado,Cidade,País,CEP,Total de Avaliações,Média de Avaliações,Avaliação Google,Avaliação Foursquare,Avaliação Facebook,Avaliação Trip,Posição no Ranking da Cidade,Site,Instagram,Telefone,Tipos de Cozinha,Horário,Faixa de Preço por Pessoa,Preço Médio por Pessoa,Estacionamento,Lugares Ao Ar Livre,Wi-Fi,Reserva,Entrega,Para Viagem,Música,TV,Acessível a cadeiras de rodas,Crianças,Grupos Grandes,Serviço de Garçom
Vila Chalezinho,"Alameda Oscar Niemeyer, 132 - loja 5",Minas Gerais,Nova Lima,Brasil,34006-049,490,3.8,4.3,Sem Avaliação,3.9,4.0,#1 de 41 restaurantes italianos em Nova Lima,vilachalezinho.com.br,@vilachalezinho,+55 31 3097-2019,"Europeia, Internacional, Contemporânea, Suíça, Opções vegetarianas",Seg: 18:30-00:00; Ter: 18:30-00:00; Qua: 18:30-00:00; Qui: 18:30-01:00; Sex: 18:30-01:00; Sáb: 18:30-01:00; Dom: Fechado,270.00,270,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Gastrô Hub,"Estação Santa Efigênia Rua Cícero Ferreira, 15",Minas Gerais,Belo Horizonte,Brasil,30220-040,3647,4.6,4.6,Sem Avaliação,4.3,5.0,#1 de 18306 restaurantes em Belo Horizonte,facebook.com,@gastrohub.bh,+55 31 2527-5858,"Chinês, Brasileira, Italiana, Japonesa",Seg: 11:00-15:00 18:00-22:30; Ter: 11:00-15:00 18:00-22:30; Qua: 11:00-15:00 18:00-22:30; Qui: 11:00-15:00 18:00-23:00; Sex: 11:00-15:00 18:00-23:00; Sáb: 11:30-16:00 18:00-23:00; Dom: 11:30-22:00,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Udon Belvedere,"Avenida Luis Paulo Franco Estrada P/ Nova Lima, 403",Minas Gerais,Belo Horizonte,Brasil,30320-760,1399,4.7,4.6,4.5,Sem Avaliação,5.0,#2 de 18306 restaurantes em Belo Horizonte,udonrestaurante.com.br,@udonbh,+55 31 3324-0052,"Japonesa, Sushi, Opções vegetarianas",Seg: 18:00-00:00; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-01:00; Sex: 18:00-01:00; Sáb: 18:00-01:00; Dom: 18:00-00:00,140.00 À 280.00,210,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Dal Grano Restaurante e Pizzaria,"Av. Pres. Antônio Carlos, 7456",Minas Gerais,Belo Horizonte,Brasil,31270-672,2439,4.5,4.7,Sem Avaliação,3.8,5.0,#3 de 18306 restaurantes em Belo Horizonte,Sem Informação,@dal_grano,+55 31 3505-9240,"Italiana, Pizza, Opções vegetarianas",Seg: 11:00-23:00; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 06:00-23:00; Sex: 11:00-23:00; Sáb: 11:00-23:00; Dom: 06:00-23:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Kanpai,"Rua Pium -í, 1122",Minas Gerais,Belo Horizonte,Brasil,30310-080,2425,4.7,4.6,4.5,Sem Avaliação,5.0,#4 de 18306 restaurantes em Belo Horizonte,facebook.com,Sem Informação,+55 31 3656-4621,"Japonesa, Sushi, Opções vegetarianas",Seg: 18:00-23:00; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 18:00-00:00; Sáb: 12:00-16:00 18:00-00:00; Dom: 12:00-16:00 18:00-23:00,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Anella Ristorante,"R Min Guilhermino De Oliveira, 325 Santa Amélia",Minas Gerais,Belo Horizonte,Brasil,31560-100,8186,4.6,4.8,4.7,Sem Avaliação,4.5,#5 de 18306 restaurantes em Belo Horizonte,anella.com.br,@anellaristorante,+55 31 3441-8748,Italiana,Seg: 12:00-15:00 18:00-23:00; Ter: 12:00-15:00 18:00-23:00; Qua: 12:00-15:00 18:00-23:00; Qui: 12:00-15:00 18:00-23:00; Sex: 12:00-16:00 18:00-23:00; Sáb: 12:00-00:00; Dom: 12:00-22:00,72.00 À 100.00,86,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Nuúu Restaurante,"Rua Arturo Toscanini, 41",Belo Horizonte,Savassi,Minas Gerais,Brasil,455,4.6,4.2,Sem Avaliação,Sem Avaliação,5.0,#6 de 18306 restaurantes em Belo Horizonte,nuuurestaurante.com.br,@nuuurestaurante,+55 31 3311-9410,Brasileira,Seg: 12:00-23:00; Ter: 12:00-23:00; Qua: 12:00-23:00; Qui: 12:00-23:00; Sex: 12:00-23:00; Sáb: 12:00-23:00; Dom: 12:00-23:00,55.00 À 140.00,97.5,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não
Restaurante Caravela,"Avenida Prudente de Morais, 202",Minas Gerais,Belo Horizonte,Brasil,30380-111,2237,4.3,4.5,4.0,4.3,4.5,#7 de 18306 restaurantes em Belo Horizonte,restaurantecaravela.com.br,@caravelabh,+55 31 2531-3101,"Portuguesa, Opções vegetarianas",Seg: 12:00-23:00; Ter: 12:00-23:00; Qua: 12:00-23:00; Qui: 12:00-23:00; Sex: 12:00-23:00; Sáb: 12:00-23:00; Dom: 12:00-23:00,75.00 À 160.00,117.5,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Taste-Vin,"Estação Central (Metrô de Belo Horizonte) R. Curitiba, 2105",Minas Gerais,Belo Horizonte,Brasil,30170-122,4621,4.5,4.8,4.3,4.5,4.5,#8 de 18306 restaurantes em Belo Horizonte,tastevinbh.com.br,@restaurante_tastevin,+55 31 3292-5423,"Francesa, Deli, Opções vegetarianas",Seg: 19:00-23:00; Ter: 19:00-23:00; Qua: 19:00-23:30; Qui: 19:00-00:00; Sex: 19:00-00:00; Sáb: 12:30-16:00 19:00-23:30; Dom: Fechado,140.00 À 550.00,345,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Glouton,"Estação Central (Metrô de Belo Horizonte) R. Bárbara Heliodora, 59",Minas Gerais,Belo Horizonte,Brasil,Sem Informação,7758,4.6,4.8,4.5,4.4,4.5,#10 de 18306 restaurantes em Belo Horizonte,glouton.com.br,@gloutonbh,+55 31 3292-4237,"Brasileira, Francesa, Contemporânea, Comida Saudável",Seg: 19:00-23:30; Ter: 19:00-23:30; Qua: 19:00-23:30; Qui: 19:00-23:30; Sex: 19:00-23:30; Sáb: 19:00-23:30; Dom: Fechado,72.00 À 100.00,86,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não
Rancho Verde Pampulha,"R. Ismail Viléla Lima, 205",Minas Gerais,Belo Horizonte,Brasil,31370-420,1009,4.4,4.6,4.3,4.4,4.5,#11 de 18306 restaurantes em Belo Horizonte,facebook.com,@ranchoverdepampulha,+55 31 99952-6901,"Brasileira, Sul Americana",Seg: Fechado; Ter: Fechado; Qua: 11:30-16:30; Qui: 11:30-16:30; Sex: 11:30-23:00; Sáb: 11:30-17:00; Dom: 11:30-17:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
