Name,Link,Price_range
Vila Chalezinho,https://restaurantguru.com.br/Clube-Chalezinho-Belo-Horizonte,
1. Gastrô Hub,https://restaurantguru.com.br/Gastro-Hub-Belo-Horizonte,Moderado (preço médio BRL 56-BRL 140)
2. Udon Belvedere,https://restaurantguru.com.br/Restaurante-Udon-Belo-Horizonte-2,Caro (preço médio BRL 140-BRL 280)
3. Dal Grano Restaurante e Pizzaria,https://restaurantguru.com.br/Dal-Grano-Belo-Horizonte,Moderado (preço médio BRL 56-BRL 140)
4. Kanpai,https://restaurantguru.com.br/Kanpai-Belo-Horizonte,Moderado (preço médio BRL 56-BRL 140)
5. Anella Ristorante,https://restaurantguru.com.br/Anella-Ristorante-Belo-Horizonte-3,Caro (preço médio BRL 71-BRL 100)
6. Nuúu Restaurante,https://restaurantguru.com.br/Nuuu-Restaurante-Belo-Horizonte,Moderado (preço médio BRL 56-BRL 140)
7. Restaurante Caravela,https://restaurantguru.com.br/Caravela-Brazil,Moderado (preço médio BRL 78-BRL 170)
8. Taste-Vin,https://restaurantguru.com.br/Taste-Vin-Belo-Horizonte,Muito caro (preço médio BRL 140-BRL 560)
9. Sapore D`Italia,https://restaurantguru.com.br/Sapore-DItalia-Belo-Horizonte,Moderado (preço médio BRL 56-BRL 140)
10. Restaurante Glouton,https://restaurantguru.com.br/Glouton-Belo-Horizonte,Caro (preço médio BRL 71-BRL 100)
11. Rancho Verde Pampulha,https://restaurantguru.com.br/Rancho-Verde-Belo-Horizonte,Moderado (preço médio BRL 56-BRL 140)
12. Beggiato Restaurante,https://restaurantguru.com.br/Beggiato-Restaurante-Belo-Horizonte,Moderado (preço médio BRL 56-BRL 140)
13. Caê Restaurante Bar,https://restaurantguru.com.br/CAE-Restaurante-Bar-Belo-Horizonte-2,Moderado (preço médio BRL 56-BRL 140)
14. Namastê,https://restaurantguru.com.br/Restaurante-Namaste-Belo-Horizonte,Moderado (preço médio BRL 56-BRL 140)
15. Alguidares Bar e Restaurante Ltda,https://restaurantguru.com.br/Alguidares-Belo-Horizonte,Muito caro (preço médio BRL 140-BRL 420)
16. Restaurante Quinto do Ouro,https://restaurantguru.com.br/Quinto-do-Ouro-Belo-Horizonte-2,Muito caro (preço médio BRL 85-BRL 780)
17. The Eat Resto,https://restaurantguru.com.br/The-Eat-Resto-Belo-Horizonte-2,Moderado (preço médio BRL 200-BRL 360)
18. Dorsé,https://restaurantguru.com.br/Dorse-Belo-Horizonte,Moderado (preço médio BRL 56-BRL 140)
19. Restaurante Mania Mineira,https://restaurantguru.com.br/Mania-Mineira-Belo-Horizonte,Moderado (preço médio BRL 56-BRL 140)
20. Restaurante Drummond,https://restaurantguru.com.br/Drummond-Belo-Horizonte,Caro (preço médio BRL 140-BRL 280)
21. Conceito Gourmet,https://restaurantguru.com.br/Conceito-Gourmet-Belo-Horizonte,Moderado (preço médio BRL 55-BRL 140)
22. Do Peixe,https://restaurantguru.com.br/Do-Peixe-Restaurante-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
23. Restaurante A Grande Muralha,https://restaurantguru.com.br/A-Grande-Muralha-Belo-Horizonte,Caro (preço médio BRL 70-BRL 99)
"24. Vasto Restaurante BH: Carnes Nobres, Sobremesas, Sushi, Drinks, Vinho, Chopp",https://restaurantguru.com.br/Vasto-Restaurante-Carnes-Nobres-Sobremesas-Sushi-Drinks-Vinho-Chopp-BH-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
25. Restaurante Minas I,https://restaurantguru.com.br/Sweetminas-Belo-Horizonte,Moderado (preço médio BRL 55-BRL 140)
26. Hokkaido | Comida Japonesa e Delivery,https://restaurantguru.com.br/Hokkaido-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
27. Paradiso,https://restaurantguru.com.br/Paradiso-Belo-Horizonte,Caro (preço médio BRL 69-BRL 97)
28. Amadeus - Bar e Restaurante,https://restaurantguru.com.br/Restaurante-Amadeus-Belo-Horizonte,Moderado (preço médio BRL 55-BRL 140)
29. Gennaro Lourdes,https://restaurantguru.com.br/Gennaro-Lourdes-Belo-Horizonte,Moderado (preço médio BRL 55-BRL 140)
30. Massala,https://restaurantguru.com.br/Massala-Belo-Horizonte,Moderado (preço médio BRL 55-BRL 140)
31. Macau,https://restaurantguru.com.br/Macau-Belo-Horizonte,Moderado (preço médio BRL 55-BRL 140)
32. Pizzaria & Restaurante Fazendinha,https://restaurantguru.com.br/Fazendinha-Belo-Horizonte,Moderado (preço médio BRL 55-BRL 140)
33. Restaurante Xapuri,https://restaurantguru.com.br/Xapuri-Belo-Horizonte,Caro (preço médio BRL 55-BRL 82)
34. Feijão Maletta,https://restaurantguru.com.br/Feijao-Belo-Horizonte,Barato (preço médio BRL 13-BRL 16)
35. Restaurante Minas II,https://restaurantguru.com.br/Minas-Clube-II-Belo-Horizonte,Moderado (preço médio BRL 55-BRL 140)
36. Olga Nur BH,https://restaurantguru.com.br/Olga-Nur-Belo-Horizonte,Muito caro (preço médio BRL 180-BRL 540)
"37. La Palma Restaurante, Pizzaria e Cervejaria",https://restaurantguru.com.br/La-Palma-Belo-Horizonte,Caro (preço médio BRL 72-BRL 100)
38. Miski Mikuy gastronomia peruana,https://restaurantguru.com.br/Miski-Mikuy-Belo-Horizonte,Moderado (preço médio BRL 55-BRL 140)
39. Nonna Carmela,https://restaurantguru.com.br/Nonna-Carmela-Belo-Horizonte,Caro (preço médio BRL 69-BRL 98)
40. Dona Fulô Bh,https://restaurantguru.com.br/Dona-Fulo-BH-Belo-Horizonte,Moderado (preço médio BRL 55-BRL 140)
41. Indian Gourmet,https://restaurantguru.com.br/Indian-Gourmet-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
42. Casa dos Contos,https://restaurantguru.com.br/Casa-dos-Contos-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
43. O Italiano Restaurante,https://restaurantguru.com.br/O-Italiano-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
44. Outback Steakhouse,https://restaurantguru.com.br/Outback-Steakhouse-Belo-Horizonte-4,Caro (preço médio BRL 140-BRL 270)
45. Pellegrino Restaurante,https://restaurantguru.com.br/Pellegrino-Belo-Horizonte,Caro (preço médio BRL 69-BRL 97)
46. Restaurante do Porto — O PORTO DO BACALHAU,https://restaurantguru.com.br/Restaurante-do-Porto-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
47. Est! Est!! Est!!! Ristorante Italiano,https://restaurantguru.com.br/Est-Est-Est-Autentica-Cucina-Italiana-Belo-Horizonte-4,Caro (preço médio BRL 140-BRL 270)
48. Restaurante Me gusta,https://restaurantguru.com.br/Me-Gusta-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
49. Pleno Bistrô,https://restaurantguru.com.br/Pleno-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
50. Dona Dora Restaurante,https://restaurantguru.com.br/Dona-Dora-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 220)
51. Restaurante Paladino,https://restaurantguru.com.br/Paladino-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
52. Caipira Xique Restaurante,https://restaurantguru.com.br/Caipira-Xique-Belo-Horizonte,Moderado (preço médio BRL 130-BRL 650)
53. Restaurante Xico da Kafua,https://restaurantguru.com.br/Xico-da-Kafua-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
54. Dona Derna,https://restaurantguru.com.br/Dona-Derna-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
55. Néctar da Serra,https://restaurantguru.com.br/Nectar-da-Serra-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
56. Restaurante do Porto - Cidade Nova,https://restaurantguru.com.br/Restaurante-do-Porto-Belo-Horizonte-2,Caro (preço médio BRL 140-BRL 270)
57. Shizú Restaurante Japonês,https://restaurantguru.com.br/Udon-Belo-Horizonte-2,Muito caro (preço médio BRL 100)
58. Il Limoncello,https://restaurantguru.com.br/Il-Limoncello-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
59. Província di Salerno,https://restaurantguru.com.br/Provincia-Di-Salerno-Belo-Horizonte,Muito caro (preço médio BRL 82-BRL 290)
60. Chalé da Mata Restaurante,https://restaurantguru.com.br/Chale-da-Mata-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
61. Per Lui Restaurante,https://restaurantguru.com.br/Per-Lui-Restaurante-Belo-Horizonte,Muito caro (preço médio mais de BRL 270)
62. Santi Cucina & Vino,https://restaurantguru.com.br/Paratella-Gastronomia-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
63. Restautrante Dona Lucinha,https://restaurantguru.com.br/Dona-Lucinha-Savassi-Belo-Horizonte,Moderado (preço médio BRL 70-BRL 99)
64. Kanpai,https://restaurantguru.com.br/Kanpai-Belo-Horizonte-2,Moderado (preço médio BRL 54-BRL 140)
65. Restaurante Sabor Mineiro,https://restaurantguru.com.br/Sabor-Mineiro-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
66. Restaurante Casa Cheia - Mercado Central,https://restaurantguru.com.br/Casa-Cheia-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
67. Vila Árabe,https://restaurantguru.com.br/Vila-Arabe-Belo-Horizonte-5,Caro (preço médio BRL 140-BRL 270)
68. ITALIA GRILL,https://restaurantguru.com.br/Italia-Grill-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
69. Restaurante Pitaya,https://restaurantguru.com.br/Pitaya-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
70. Alho e Sal Restaurante,https://restaurantguru.com.br/Alho-e-sal-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
71. Lucca Pizzeria E Ristorante,https://restaurantguru.com.br/Lucca-Pizzeria-and-Ristorante-Belo-Horizonte-2,Moderado (preço médio BRL 54-BRL 140)
72. Libertas,https://restaurantguru.com.br/Libertas-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
73. Restaurante Italiano Maurizio Gallo,https://restaurantguru.com.br/Restaurante-Italiano-Maurizio-Gallo-Belo-Horizonte,Caro (preço médio BRL 70-BRL 99)
74. Restaurante Ninita,https://restaurantguru.com.br/Ninita-Belo-Horizonte,Muito caro (preço médio mais de BRL 270)
75. Restaurante do Ano,https://restaurantguru.com.br/Restaurante-do-ano-Belo-Horizonte,Caro (preço médio BRL 70-BRL 99)
76. Fratelli D'Italia (Pelusinho),https://restaurantguru.com.br/Fratelli-DItalia-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
77. Restaurante Chen Chang Kee Noodle House - Galeria BH,https://restaurantguru.com.br/Chen-Chang-Kee-Noodle-House-Galeria-BH-Belo-Horizonte,Barato (preço médio até BRL 54)
78. Amadís Fleming Restaurante e Bar,https://restaurantguru.com.br/Amadis-Bar-e-Restaurante-Belo-Horizonte,Moderado (preço médio BRL 160)
79. Ah! Bon,https://restaurantguru.com.br/Ah-Bon-Belo-Horizonte-6,Caro (preço médio BRL 140-BRL 270)
80. Mineiros Beer,https://restaurantguru.com.br/Mineiros-Beer-Bar-e-Restaurante-Gourmet-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
81. Restaurante e Pizzaria Tia Penha,https://restaurantguru.com.br/Restaurante-e-Pizzaria-Tia-Penha-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
82. Restaurante Tia Zarica,https://restaurantguru.com.br/Tia-Zarica-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
83. Verdinho Restaurante,https://restaurantguru.com.br/Verdinho-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
84. Kinoko Restaurante,https://restaurantguru.com.br/Kinoko-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
85. Inka Peruano e Japonês,https://restaurantguru.com.br/Inka-Belo-Horizonte-2,Caro (preço médio BRL 71-BRL 100)
86. Gennaro,https://restaurantguru.com.br/Gennaro-Belo-Horizonte,Moderado (preço médio BRL 140-BRL 270)
87. Restaurante Dragon Center,https://restaurantguru.com.br/Dragon-Center-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
88. Restaurante O Conde,https://restaurantguru.com.br/O-Conde-Belo-Horizonte,Caro (preço médio BRL 69-BRL 97)
89. Bar & Restaurante Pompéu,https://restaurantguru.com.br/Bar-E-Restaurante-Pompeu-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
90. Via Férrea Pizzaria e Churrascaria,https://restaurantguru.com.br/Churrascaria-via-Ferrea-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
91. Gusto Osteria,https://restaurantguru.com.br/Gusto-Osteria-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
"92. Restaurante E Pizzaria Guarujá - Belo Horizonte, MG",https://restaurantguru.com.br/Restaurante-e-Pizzaria-Guaruja-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
93. Restaurante Outback Steakhouse,https://restaurantguru.com.br/Outback-Belo-Horizonte-2,Caro (preço médio BRL 140-BRL 270)
"94. Coco Bambu Minas Shopping: Restaurante, Carne, Camarão, Peixe, Lagosta, BH, MG",https://restaurantguru.com.br/Coco-Bambu-Minas-Shopping-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
95. Ochi Sushi - Restaurante Japonês,https://restaurantguru.com.br/Ochi-Sushi-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
96. Restaurante do Divino,https://restaurantguru.com.br/Bar-do-Divino-Belo-Horizonte,Barato (preço médio até BRL 54)
97. RESTAURANTE TILAPIA GRILL,https://restaurantguru.com.br/Restaurante-Tilapia-Grill-Belo-Horizonte,Moderado (preço médio BRL 130-BRL 670)
98. Restaurante Japones Belo Horizonte Sushi Gami,https://restaurantguru.com.br/Sushi-Gami-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
99. Tradição de Minas,https://restaurantguru.com.br/Tradicao-de-Minas-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
100. Udon,https://restaurantguru.com.br/Udon-Belo-Horizonte,Caro (preço médio BRL 140-BRL 270)
101. Graciliano,https://restaurantguru.com.br/Graciliano-Belo-Horizonte,Caro (preço médio BRL 110-BRL 140)
102. Restaurante Guignard,https://restaurantguru.com.br/Guignard-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
103. O Sarracino,https://restaurantguru.com.br/O-Sarracino-Belo-Horizonte,Moderado (preço médio BRL 54-BRL 140)
104. Quintal Pampulha,https://restaurantguru.com.br/Quintal-Pampulha-Belo-Horizonte,Moderado (preço médio BRL 71-BRL 100)
105. Benvindo Restaurante,https://restaurantguru.com.br/Benvindo-Belo-Horizonte,Caro (preço médio BRL 70-BRL 99)
